seed,baseline,throughput_total_mbps,urllc_latency_mean_ms,urllc_latency_p95_ms,urllc_latency_p99_ms,sla_violation_pct,jain_fairness,pdr_pct,action_churn_per_s,unsafe_actions_applied,queue_peak_depth,energy_efficiency_index
1010,B3,91.87,1.85,2.34,2.39,0.0,0.9924,86.92,10.0,0,400,1.145
1011,B3,84.88,1.85,2.34,2.39,0.0,0.9824,81.84,10.0,0,400,1.145
1012,B3,87.89,1.85,2.34,2.39,0.0,0.9949,83.12,10.0,0,400,1.145
1013,B3,85.81,1.85,2.34,2.39,0.0,0.9865,81.81,10.0,0,400,1.145
1014,B3,90.18,1.85,2.34,2.39,0.0,0.9946,85.88,10.0,0,400,1.145
1015,B3,87.09,1.85,2.34,2.39,0.0,0.996,82.87,10.0,0,400,1.145
1016,B3,93.42,1.85,2.34,2.39,0.0,0.997,88.61,10.0,0,400,1.145
1017,B3,83.74,1.85,2.35,2.39,0.0,0.9763,80.69,10.0,0,400,1.145
1018,B3,87.84,1.85,2.35,2.39,0.0,0.9874,84.22,10.0,0,400,1.145
1019,B3,93.09,1.85,2.34,2.39,0.0,0.994,88.19,10.0,0,400,1.145
1020,B3,90.6,1.84,2.34,2.39,0.0,0.9976,86.53,10.0,0,400,1.145
1021,B3,93.75,1.85,2.35,2.39,0.0,0.9952,89.15,10.0,0,400,1.145
1022,B3,92.85,1.85,2.34,2.39,0.0,0.9907,89.04,10.0,0,395,1.145
1023,B3,92.7,1.86,2.34,2.39,0.0,0.9919,88.96,10.0,0,400,1.145
1024,B3,85.61,1.86,2.35,2.39,0.0,0.9813,82.14,10.0,0,400,1.145
1025,B3,84.34,1.85,2.35,2.39,0.0,0.9845,80.87,10.0,0,400,1.145
1026,B3,83.95,1.85,2.35,2.39,0.0,0.9832,80.6,10.0,0,400,1.145
1027,B3,90.08,1.85,2.34,2.39,0.0,0.9969,85.47,10.0,0,400,1.145
1028,B3,89.93,1.84,2.35,2.39,0.0,0.9896,85.53,10.0,0,400,1.145
1029,B3,90.64,1.86,2.35,2.39,0.0,0.9955,86.32,10.0,0,400,1.145
1030,B3,90.26,1.85,2.35,2.39,0.0,0.9913,86.02,10.0,0,400,1.145
