seed,variant,throughput_mbps,latency_mean_ms,latency_p95_ms,latency_p99_ms,sla_violation_pct,jain_fairness,pdr_pct,action_churn_per_s,unsafe_actions_applied,queue_peak_depth
1014,A2_wo_Indirect_Detection,98.29,6.89,41.83,81.98,14.41,0.9975,93.64,5.0,0,407
1015,A2_wo_Indirect_Detection,95.85,2.71,11.41,21.88,5.58,0.9961,90.75,5.0,0,344
1016,A2_wo_Indirect_Detection,101.78,12.34,41.83,71.86,47.26,0.9969,96.42,5.0,0,430
1017,A2_wo_Indirect_Detection,89.7,5.54,21.81,31.99,22.87,0.9752,85.86,5.0,0,356
1018,A2_wo_Indirect_Detection,94.45,20.64,141.71,201.61,20.16,0.9905,90.03,5.0,0,446
1019,A2_wo_Indirect_Detection,99.74,16.23,101.42,151.58,27.61,0.9949,94.02,5.0,0,352
1020,A2_wo_Indirect_Detection,99.24,6.52,31.98,61.42,18.86,0.9969,94.85,5.0,0,411
1021,A2_wo_Indirect_Detection,100.3,25.74,171.91,211.76,28.51,0.9962,95.07,5.0,0,385
1022,A2_wo_Indirect_Detection,98.57,5.25,21.83,41.52,19.36,0.9929,94.27,5.0,0,365
1023,A2_wo_Indirect_Detection,99.02,11.17,41.93,71.59,40.48,0.9926,94.44,5.0,0,358
1024,A2_wo_Indirect_Detection,91.33,26.32,161.94,221.32,30.09,0.983,87.13,5.0,0,411
1025,A2_wo_Indirect_Detection,90.09,9.84,41.7,61.75,32.26,0.9879,85.89,5.0,0,349
1026,A2_wo_Indirect_Detection,90.97,26.73,161.32,201.68,32.57,0.9847,87.15,5.0,0,459
1027,A2_wo_Indirect_Detection,98.91,6.35,31.69,51.5,20.56,0.9977,93.52,5.0,0,382
1028,A2_wo_Indirect_Detection,95.82,5.59,31.58,51.55,15.97,0.9915,91.67,5.0,0,330
1029,A2_wo_Indirect_Detection,99.27,14.56,141.94,201.89,14.33,0.9966,93.43,5.0,0,412
1030,A2_wo_Indirect_Detection,96.91,17.15,141.83,201.78,19.75,0.9909,92.89,5.0,0,426
1001,A3_wo_TVS_EEVS,102.1,1.85,2.34,2.39,0.0,0.9969,96.49,5.0,0,318
1002,A3_wo_TVS_EEVS,97.23,1.84,2.34,2.39,0.0,0.9917,92.77,5.0,0,293
1003,A3_wo_TVS_EEVS,102.31,1.85,2.35,2.39,0.0,0.9974,96.86,5.0,0,267
1004,A3_wo_TVS_EEVS,98.69,1.95,2.36,2.4,0.92,0.9976,94.09,5.0,0,364
