seed,scenario,urllc_latency_mean_ms,urllc_latency_p99_ms,urllc_sla_violation_pct,conflict_occurrence_pct,throughput_total_mbps,pdr_pct,jain_fairness,ping_pong_ev_min,mean_tx_power_dbm,decision_latency_ms
1005,RDL_Phase1,2.8539157534935153,3.2289023162134947,0.0,0.67,1253.784,99.50666666666666,0.9999879526811479,0.0,33.89,14.2
1006,RDL_Phase1,2.749884270906712,3.06623246492986,0.0,0.67,1253.322,99.47,0.999993656308212,0.0,33.89,14.2
1007,RDL_Phase1,2.910965794768612,3.2011044176706824,0.0,0.67,1252.86,99.43333333333332,0.999989526186007,0.0,33.89,14.2
1008,RDL_Phase1,2.773732302440004,2.9559118236472948,0.0,0.67,1252.4820000000002,99.40333333333334,0.999986743563221,0.0,33.89,14.2
1009,RDL_Phase1,2.6908532285685505,2.945757575757576,0.0,0.67,1252.314,99.39,0.9999862766046004,0.0,33.89,14.2
1010,RDL_Phase1,2.83785498489426,3.276008064516129,0.0,0.67,1252.104,99.37333333333333,0.9999900130993122,0.0,33.89,14.2
1011,RDL_Phase1,2.949874283415468,3.293353474320242,0.0,0.67,1252.0620000000001,99.37,0.99999263082787,0.0,33.89,14.2
1012,RDL_Phase1,2.898842009868089,3.3292044310171196,0.0,0.67,1252.188,99.38,0.9999876204541956,0.0,33.89,14.2
1013,RDL_Phase1,2.84277381072111,3.0861054766734277,0.0,0.67,1253.238,99.46333333333334,0.9999881072783469,0.0,33.89,14.2
1014,RDL_Phase1,2.780970074312111,3.3232394366197187,0.0,0.67,1254.162,99.53666666666666,0.9999914891651822,0.0,33.89,14.2
1015,RDL_Phase1,2.950478011472275,3.4096871846619576,0.0,0.67,1253.574,99.49,0.9999907493015251,0.0,33.89,14.2
1016,RDL_Phase1,2.826915363016446,3.1194194194194194,0.0,0.67,1254.2040000000002,99.53999999999999,0.9999904053568522,0.0,33.89,14.2
1017,RDL_Phase1,2.9326268206931188,3.366835187057634,0.0,0.67,1253.154,99.45666666666668,0.9999914619888838,0.0,33.89,14.2
1018,RDL_Phase1,2.794850130758399,3.2124748490945674,0.0,0.67,1252.692,99.42,0.9999875629683743,0.0,33.89,14.2
1019,RDL_Phase1,2.8379372738238846,3.0955734406438635,0.0,0.67,1253.238,99.46333333333334,0.9999892528488176,0.0,33.89,14.2
1020,RDL_Phase1,2.810721463022508,3.1926853707414833,0.0,0.67,1253.028,99.44666666666667,0.9999929399115921,0.0,33.89,14.2
1021,RDL_Phase1,2.845809887459807,3.201913393756294,0.0,0.67,1252.7759999999998,99.42666666666666,0.999989686628615,0.0,33.89,14.2
1022,RDL_Phase1,2.8638028169014085,3.171743486973948,0.0,0.67,1252.902,99.43666666666667,0.9999880334762857,0.0,33.89,14.2
1023,RDL_Phase1,2.8663077387541502,3.243687374749499,0.0,0.67,1253.1119999999999,99.45333333333333,0.9999903796408935,0.0,33.89,14.2
1024,RDL_Phase1,2.8187883050336584,3.0359077231695086,0.0,0.67,1253.49,99.48333333333333,0.9999853772782888,0.0,33.89,14.2
1025,RDL_Phase1,2.931261921493826,3.4837349397590365,0.0,0.67,1254.456,99.56,0.9999945790967955,0.0,33.89,14.2
1026,RDL_Phase1,2.9124309669645543,3.2460460460460463,0.0,0.67,1253.28,99.46666666666667,0.9999899374974843,0.0,33.89,14.2
1027,RDL_Phase1,2.9041105527638194,3.111581067472306,0.0,0.67,1252.818,99.42999999999999,0.9999906841882151,0.0,33.89,14.2
1028,RDL_Phase1,2.7456083803384366,2.929103726082578,0.0,0.67,1252.0620000000001,99.37,0.9999863520953485,0.0,33.89,14.2
1029,RDL_Phase1,2.7893454179254786,2.993386773547094,0.0,0.67,1253.07,99.45,0.999988625350908,0.0,33.89,14.2
1030,RDL_Phase1,2.7855001006238678,3.6098098098098097,0.0,0.67,1253.07,99.45,0.9999911193258938,0.0,33.89,14.2
1001,RDL_Phase2,2.1353766025641026,2.396796796796797,0.0,0.0,1257.858,99.83,0.9999993879210739,0.0,31.04,12.5
1002,RDL_Phase2,2.0679222600681224,2.322044088176353,0.0,0.0,1257.732,99.82,0.9999993710716231,0.0,31.04,12.5
1003,RDL_Phase2,2.1120004006811577,2.4224674022066197,0.0,0.0,1257.27,99.78333333333333,0.9999994587686074,0.0,31.04,12.5
1004,RDL_Phase2,2.186621269777689,2.3564564564564563,0.0,0.0,1258.026,99.84333333333333,0.9999989511617556,0.0,31.04,12.5
1005,RDL_Phase2,2.122738655714715,2.3783567134268537,0.0,0.0,1258.026,99.84333333333333,0.9999992855414034,0.0,31.04,12.5
1006,RDL_Phase2,2.051808436028454,2.2674674674674673,0.0,0.0,1257.942,99.83666666666666,0.999999566362573,0.0,31.04,12.5
1007,RDL_Phase2,2.1615307553596472,2.3594594594594596,0.0,0.0,1257.774,99.82333333333332,0.9999993521578422,0.0,31.04,12.5
1008,RDL_Phase2,2.068005207290206,2.1921921921921923,0.0,0.0,1257.774,99.82333333333332,0.9999991514495989,0.0,31.04,12.5
1009,RDL_Phase2,2.011303737849484,2.1853560682046136,0.0,0.0,1257.6060000000002,99.81,0.9999990396885352,0.0,31.04,12.5
1010,RDL_Phase2,2.1119362597714972,2.4104208416833672,0.0,0.0,1257.5639999999999,99.80666666666667,0.9999992682850816,0.0,31.04,12.5
1011,RDL_Phase2,2.188148667601683,2.4222444889779564,0.0,0.0,1257.48,99.8,0.9999994645272029,0.0,31.04,12.5
1012,RDL_Phase2,2.1533520392824936,2.4466933867735476,0.0,0.0,1257.5220000000002,99.80333333333333,0.9999991644953865,0.0,31.04,12.5
1013,RDL_Phase2,2.1151757988580586,2.2809236947791165,0.0,0.0,1257.858,99.83,0.9999991203458223,0.0,31.04,12.5
1014,RDL_Phase2,2.0728966346153848,2.4426853707414833,0.0,0.0,1258.026,99.84333333333333,0.9999994192933251,0.0,31.04,12.5
1015,RDL_Phase2,2.1887697856141055,2.5016032064128253,0.0,0.0,1257.942,99.83666666666666,0.9999994325927487,0.0,31.04,12.5
1016,RDL_Phase2,2.1042246471118227,2.303703703703704,0.0,0.0,1258.026,99.84333333333333,0.9999994192933251,0.0,31.04,12.5
1017,RDL_Phase2,2.1764770678950534,2.4723169508525578,0.0,0.0,1257.942,99.83666666666666,0.9999994994776564,0.0,31.04,12.5
1018,RDL_Phase2,2.0822197736151455,2.367134268537074,0.0,0.0,1257.6899999999998,99.81666666666666,0.9999991914832516,0.0,31.04,12.5
1019,RDL_Phase2,2.1116775162744115,2.2874749498997997,0.0,0.0,1257.942,99.83666666666666,0.9999990312834902,0.0,31.04,12.5
1020,RDL_Phase2,2.093179086538462,2.353653653653654,0.0,0.0,1257.774,99.82333333333332,0.9999993521578422,0.0,31.04,12.5
1021,RDL_Phase2,2.117304225916283,2.359919839679359,0.0,0.0,1257.858,99.83,0.9999993210272478,0.0,31.04,12.5
1022,RDL_Phase2,2.129334535979154,2.3393393393393396,0.0,0.0,1257.732,99.82,0.9999991034427665,0.0,31.04,12.5
1023,RDL_Phase2,2.1312055316163945,2.388488488488488,0.0,0.0,1257.6899999999998,99.81666666666666,0.9999992583949328,0.0,31.04,12.5
1024,RDL_Phase2,2.098698047070606,2.246746746746747,0.0,0.0,1257.8999999999999,99.83333333333333,0.9999991750308502,0.0,31.04,12.5
1025,RDL_Phase2,2.175240288346015,2.552052052052052,0.0,0.0,1258.236,99.86,0.9999995587656029,0.0,31.04,12.5
1026,RDL_Phase2,2.162704056084126,2.3900900900900903,0.0,0.0,1257.816,99.82666666666667,0.999999335476533,0.0,31.04,12.5
1027,RDL_Phase2,2.156796554142042,2.2983967935871745,0.0,0.0,1257.732,99.82,0.9999994379788596,0.0,31.04,12.5
1028,RDL_Phase2,2.04873233790961,2.173947895791583,0.0,0.0,1257.438,99.79666666666667,0.9999992313222547,0.0,31.04,12.5
1029,RDL_Phase2,2.0785850285599756,2.2178178178178176,0.0,0.0,1257.816,99.82666666666667,0.9999992016799688,0.0,31.04,12.5
1030,RDL_Phase2,2.075796433580445,2.638038038038038,0.0,0.0,1257.8999999999999,99.83333333333333,0.9999993756988966,0.0,31.04,12.5
